-5.324080847171981*^6+6.7356883760152*^6*I,1.5452709032420906-1.9549783445299145*I
-4.48966614657035*^6+5.680144641495386*^6*I,1.304173598532104-1.6499877575380166*I
-3.7851803443921283*^6+4.788951450945949*^6*I,1.100686731239093-1.3925716449456282*I
-3.1903381137796286*^6+4.036450503188522*^6*I,0.9289429141461667-1.1753085282876954*I
-2.6880267624436757*^6+3.4009963652539887*^6*I,0.7839898897306449-0.9919344191877086*I
-2.2637879319509594*^6+2.864300869737222*^6*I,0.6616481763720093-0.8371627572948339*I
-1.9054316705506102*^6+2.4109449962807195*^6*I,0.5583904195028434-0.7065318104445317*I
-1.60265464862119*^6+2.027896026026862*^6*I,0.4712392912170436-0.59627555243424*I
-1.3467687051043075*^6+1.7041641713835553*^6*I,0.3976820366893359-0.5032155677212103*I
-1.1304401975396231*^6+1.4304729108248295*^6*I,0.3355977417930874-0.42466906220459155*I
-947476.0239987313+1.198988364954167*^6*I,0.2831965927838032-0.3583720444018374*I
-792644.3461116271+1.0030925098563774*^6*I,0.2389676880106176-0.30241330694683083*I
-661530.7318036717+837201.2402185847*I,0.20163608497315774-0.2551801031995331*I
-550412.9173784547+696605.9755835744*I,0.1701254761416267-0.2153109411807946*I
-456141.09219606494+577322.2066355973*I,0.14352758165421092-0.18165686356850796*I
-376060.7391045457+475991.9254022809*I,0.12107577910246639-0.15324809856863178*I
-307926.87406325934+389775.1355637403*I,0.10212297091170586-0.12926606341740804*I
-249846.09992017574+316276.5599658322*I,0.08612302624479164-0.10901989057469122*I
-200910.14448550218+252579.84508548825*I,0.07286600081660102-0.09160305590736706*I
-159694.0198555838+198033.7871406588*I,0.06198652420977788-0.07686528369341722*I
-123625.1343769532+151261.53391224*I,0.05264121135616849-0.06440510998249507*I
4.699122487083509*^6-9.04055196077475*^6*I,0.019899533793526318-0.038284439222088476*I
4.035109903880464*^6-7.763394992322968*^6*I,0.017083043810609017-0.03286723780278871*I
3.4649139665771704*^6-6.666654675039853*^6*I,0.01466414384824983-0.028214635076836577*I
2.9752797414766178*^6-5.724843790872218*^6*I,0.012586583039405177-0.02421846952916965*I
2.5548245106829517*^6-4.916074677618082*^6*I,0.010802133152522724-0.020786004295651774*I
2.1937743415333596*^6-4.221552993385137*^6*I,0.009269327748454301-0.017837503867469948*I
1.8837359216593541*^6-3.625139004322207*^6*I,0.007952593408833523-0.015304563776022026*I
1.6175017788012968*^6-3.11297295389632*^6*I,0.006821348475612745-0.013128377099973824*I
1.3888826607985515*^6-2.6731528958780007*^6*I,0.005849329882063899-0.011258440725631416*I
1.1925637371475706*^6-2.295458295313882*^6*I,0.005014009531442295-0.009651433639530353*I
1.023981158027211*^6-1.9711125943912915*^6*I,0.004296013235074476-0.008270099234949552*I
879215.5937649019-1.6925785112024625*^6*I,0.0036787026408659483-0.007082441532523754*I
754901.6822046544-1.4533840273710368*^6*I,0.0031478007221350263-0.006061005554777873*I
648149.3927353425-1.2479711344118703*^6*I,0.0026910236188142384-0.005182169163803265*I
556476.9685490769-1.0715668908668784*^6*I,0.002297824714475424-0.0044256510556520325*I
477753.3421841922-920072.760570657*I,0.0019591512002428316-0.0037740429888653178*I
410148.27587902336-789968.689505813*I,0.0016672064928417007-0.0032123527126398104*I
352090.23108487093-678232.1142680654*I,0.0014153013787194136-0.002727717953815758*I
302229.59297336603-582267.2831159371*I,0.0011976825254309564-0.0023090768232243773*I
259407.2607848228-499844.8161442916*I,0.0010093998960783858-0.0019469127510056317*I
222627.86688063887-429050.2380078164*I,0.0008461953831248591-0.001633040525820438*I
-1678.074687845202-42525.03290673496*I,0.001637277595641511+0.04178912670564095*I
-1501.1238488730398-37947.772737165316*I,0.001462701539575932+0.03730955159468593*I
-1343.3249336891904-33859.03803111335*I,0.0013067822777890184+0.03331017076153545*I
-1202.6608016611594-30206.2838082165*I,0.001167523477129726+0.029739505556855114*I
-1077.3305813822378-26942.494974599864*I,0.001043142630395931+0.026551606070484294*I
-965.7307173727622-24025.68215473211*I,0.0009320475044616726+0.023705437546770996*I
-866.4349605698236-21418.347217622544*I,0.0008328167611752349+0.021164370664139072*I
-778.1729480812726-19086.928309266095*I,0.0007441810190281712+0.018895699099890438*I
-699.8172103562953-17001.46013461521*I,0.0006650064768083808+0.016870224081102194*I
-630.3682609916223-15135.16392058805*I,0.0005942808329645338+0.015061878169756564*I
-568.9385303198185-13464.022573942884*I,0.0005311000335017988+0.013447384144872395*I
-514.747150838085-11966.635978153488*I,0.00047465662085049314+0.012005962769834271*I
-467.10084293385756-10623.711203795685*I,0.00042422937562241754+0.01071906114753968*I
-425.39543643054174-9418.072012866487*I,0.00037917438385820095+0.009570116264076486*I
-389.1012797021912-8334.269184740599*I,0.0003389164644748249+0.008544338933368064*I
-357.75639873322797-7358.383000071957*I,0.00030294176456472597+0.007628525162804888*I
-330.96686294743057-6477.994213206857*I,0.0002707914509779462+0.0068108860410893025*I
-308.3939650296589-5681.829798299677*I,0.0002420557730195269+0.006080896929254816*I
-289.7554709815024-4959.758278340667*I,0.0002163685733257152+0.005429157403732822*I
-274.820253111852-4302.60608782507*I,0.0001934030950095615+0.004847275659112106*I
-263.4057729221571-3702.048179475038*I,0.0001728676160373888+0.0043277580004990115*I
