-1698.3413370715223+246.47147973930842*I,-0.000018375195877854666+0.00029707082715596305*I
-1729.0945608301631-64.0859823537807*I,-0.00012477612397544298+0.00028454334505358944*I
-1647.1935915768117-370.20595737010547*I,-0.00022299643064046008+0.00025342747115939104*I
-1458.798712500598-651.7292345788693*I,-0.0003065930864563785+0.00020577408490107433*I
-1178.3095954355906-890.2456507578348*I,-0.0003700630895923725+0.00014474249547648737*I
-829.1076251327737-1071.0576763161268*I,-0.00040920283039943856+0.00007443987136226097*I
-253.63690433266592-1538.057615915563*I,-0.00033278849465769825-0.000046716953247177385*I
414.8491274558014-1513.9839900453662*I,-0.00029038574183463966-0.0001454971540423291*I
1027.5425300283089-1287.1578350053355*I,-0.0002090378901620719-0.0002247439404238235*I
1502.460420563416-888.5680528359896*I,-0.00009969675242041687-0.0002738250660768437*I
1776.9782274231939-372.7822483635206*I,0.000022881798038775335-0.0002861760257557519*I
1817.9473282931897+189.31470019352284*I,0.00014207133148537077-0.0002602399763880826*I
1863.7702092833679+329.85912693694746*I,0.00015208090236658455-0.00024135673662302874*I
1511.5059350090157+1050.9374934305865*I,0.0002528611291709433-0.0001549829155542533*I
847.8368480211228+1555.3555957966184*I,0.0003014797818722876-0.000036670563639087815*I
9.973367123172107+1739.5869624562215*I,0.0002879349386694562+0.00008914640172043929*I
-829.1699883041551+1567.0487133212255*I,0.00021511059222070752+0.00019647356155775788*I
-1497.9684714308423+1076.5220618637554*I,0.00009827768244777904+0.00026315684674532545*I
-1188.963545919559+1468.7568795529014*I,0.00015629696255057418+0.00022745586156894433*I
-1812.1584411460879+684.8004520197653*I,0.000011786600698519254+0.00027145942369551107*I
-1925.504736884267-291.70897112291885*I,-0.0001360134049727808+0.00023906595645483545*I
-1497.6844700072795-1186.0280464248267*I,-0.00024548965785167444+0.0001394428859891361*I
-650.161254840528-1747.3888337245091*I,-0.0002858654551595327+7.396854621471383*^-7*I
377.59112232007755-1821.0293446944004*I,-0.00024599242558713443-0.0001378198651107436*I
-720.4703621969531-1791.3540038084213*I,-0.0002743470224806519+0.0000118623837429103*I
466.6984522939259-1869.0571111035333*I,-0.00023196106953775827-0.00014238440122511323*I
1485.9818114138504-1274.755111524089*I,-0.00010616629707718776-0.0002454020632333578*I
1971.2128240388597-222.53573129171988*I,0.00005773927348217054-0.00026016884981695516*I
1749.227298488983+909.1826356563571*I,0.00020074954588324877-0.00018149793025473094*I
