1.1706101039917976*^10-4.7456098696700584*^10*I,-9.536749618379394+38.661628632093944*I
1.0012674120117535*^10-3.982668091235515*^10*I,-8.162099221691737+32.465784602312226*I
1.0412298342096853*^10-3.4773251791568344*^10*I,-8.4943553968376+28.368026857888268*I
1.157761781081729*^10-2.8750796338696964*^10*I,-9.454120778885597+23.477498179363522*I
1.0672578542572893*^10-2.273080173524113*^10*I,-8.72563474725905+18.584138093940453*I
9.113885006558666*^9-1.907046001746924*^10*I,-7.462667841231502+15.615350488505909*I
8.67415382892017*^9-1.5949563529900524*^10*I,-7.116257651010287+13.084988546197515*I
7.550808376177191*^9-1.2839728736094057*^10*I,-6.209667508509977+10.559193450289973*I
6.656732036026876*^9-1.0832434038598194*^10*I,-5.491080583203298+8.935580987147771*I
5.800412897200587*^9-8.782319322651548*^9*I,-4.803086099035926+7.272281577713051*I
5.063764802753876*^9-7.343530129730551*^9*I,-4.213386664746504+6.110301944404004*I
4.302401863839055*^9-6.038617210632477*^9*I,-3.6017032296414597+5.0551547247145905*I
3.7070990058738785*^9-4.957787126506174*^9*I,-3.1271968223941005+4.182239568744878*I
3.1717058250397177*^9-4.0959771209089155*^9*I,-2.7014759076600923+3.4887168357808567*I
2.6885122941282525*^9-3.3778508712773666*^9*I,-2.3179020747512813+2.9122156366308602*I
2.264568747982148*^9-2.775561978287103*^9*I,-1.9825135618402019+2.4298618746211016*I
1.8939648926366243*^9-2.275059823217048*^9*I,-1.6903852765487+2.0305168500658426*I
1.5774374516943429*^9-1.8630344601650255*^9*I,-1.4425988990089345+1.7037832198430618*I
1.3070852153367898*^9-1.510804027726614*^9*I,-1.2327325867747418+1.4248629965793262*I
1.0704273718416305*^9-1.2205985204884024*^9*I,-1.049675508700911+1.1969353606954223*I
8.664263543413513*^8-9.74729462951832*^8*I,-0.8927799487572715+1.0043772504442496*I
6.91606219744808*^8-7.6801820356086*^8*I,-0.7591925799313096+0.8430718293870297*I
5.407916895880059*^8-5.933918520263984*^8*I,-0.6440486305033282+0.7066920895926941*I
4.110921226021513*^8-4.470714121391901*^8*I,-0.544562969929656+0.5922237914073556*I
2.999767093429269*^8-3.234476252008179*^8*I,-0.458084084138508+0.4939257083704874*I
2.0537716960276306*^8-2.1966745834683833*^8*I,-0.3821604788725169+0.4087514728972404*I
1.2574321730019598*^8-1.3363616253756732*^8*I,-0.31453596544686613+0.3342794928020152*I
6.015785873497432*^7-6.355242453402606*^7*I,-0.25333816680368976+0.2676334325381959*I
8.304512814533425*^6-8.730730450231213*^6*I,-0.1971495589357482+0.2072679271988116*I
-2.9610433782770395*^7+3.0988723798854884*^7*I,-0.14513168934165685+0.1518872154473748*I
-5.303857016278145*^7+5.53007440518469*^7*I,-0.09729315011666166+0.10144285707676493*I
-6.1557543621907055*^7+6.399061521755769*^7*I,-0.054787044350816806+0.05695251901989538*I
-5.578483495830318*^7+5.7835503193078466*^7*I,-0.02004957341619872+0.02078661105985801*I
-3.8665167418591686*^7+4.00103246347466*^7*I,0.0036569289948568152-0.0037841402491012627*I
-1.6614598193350093*^7+1.716738320532406*^7*I,0.01376370799629145-0.014221610824710273*I
1.1244491602064474*^6-1.1611152069686211*^6*I,0.011149767175590767-0.011513783516132123*I
6.979974542103978*^6-7.209264900777645*^6*I,0.002408950158208334-0.002488155179119443*I
"{χt[2.0756900184202817*^11], Derivative[1][χt][2.0756900184202817*^11]} /. {}[[1]]"
-1.89270391921623*^6+1.963989880559372*^6*I,-0.0008661854297508912+0.0008990732174631367*I
-60648.86079095154+63874.639979264546*I,0.0009393194606704114-0.0009810358864044025*I
418750.267477753-443332.47311326524*I,-0.00036118377917850037+0.00038119262792899936*I
-272207.21141004877+295123.95911850454*I,0.00014372375775643757-0.00015398688770980654*I
110916.93315284773-127400.09996184432*I,-0.00011013858820454968+0.00012199836245668024*I
24331.02702754196-23066.50426129131*I,0.00007540017792237085-0.0000920306801325143*I
-48821.723047651+68529.69987842422*I,0.000017760571073220674-0.00001468905123499123*I
-33516.64779067165+42696.89925291043*I,-2.729973914121604*^-6+0.00001839512699920894*I
-24986.793637908566+33978.97701532023*I,7.385626200129997*^-6+9.966297653644963*^-6*I
3683.4893116518215+20851.444267400017*I,0.000020930744057241917-0.000017251612162678212*I
